Abhogi	Kafi	[3, 5, 8, 6, 6, 8, 0, 3, 0, 3, 0, 3, 3, 0, 8, 0, 8, 8, 6, 6, 5, 3, 5, 5, 5, 5, 3, 0, 3, 5, 5, 3, 0, 5, 0, 3, 5, 3, 5, 8, 6, 6, 6, 5, 6, 5, 6, 8, 8, 6, 6, 8, 0, 0, 8, 8, 3, 0, 3, 0, 3, 3, 3, 0, 0, 5, 3, 5, 3, 0, 3, 5, 5, 6, 5, 6, 5, 3, 3, 5, 3, 0, 0, 0, 3, 3, 0, 3, 3, 0, 8, 6, 6, 5, 5, 5, 6, 5, 6, 8, 8, 6, 5, 5, 3, 3, 0, 3, 0, 3]
Adana	Asavari	[1, 11, 1, 8, 8, 10, 10, 3, 1, 3, 3, 11, 11, 1, 1, 10, 10, 10, 5, 3, 5, 1, 3, 10, 8, 10, 1, 11, 1, 10, 8, 10, 3, 1, 3, 11, 1, 1, 10, 10, 11, 8, 8, 10, 1, 10, 1, 10, 8, 6, 6, 8, 5, 3, 5, 3, 1, 3, 8, 5, 8, 5, 8, 10, 8, 10, 1, 10, 1, 11, 1, 11, 1, 11, 10, 8, 10, 6, 5, 6, 3, 3, 5, 1, 3, 1, 3, 5, 5, 3, 1, 11, 1, 10, 8, 10, 3, 1, 3, 11, 1, 10, 1, 8, 10, 1, 11, 11, 1, 8, 10, 3, 3, 1, 3, 5, 5, 6, 3, 3, 5, 3, 1, 3, 11, 1, 3, 1, 8, 10, 5, 1, 11, 1, 10, 8, 10, 1, 11, 11, 1, 8, 10, 3, 3, 1, 3, 1, 3, 5, 5, 3, 1, 11, 1, 1, 10, 6, 5, 3, 5, 1, 1, 3, 5, 8, 10, 11, 1, 8, 10, 5, 3, 5, 1, 3, 10, 1, 3, 1, 11, 10, 8, 10, 3, 3]
Alhaiya bilaval	Bilaval	[3, 3, 7, 5, 7, 7, 8, 5, 7, 10, 7, 10, 0, 2, 3, 0, 1, 0, 1, 10, 0, 8, 10, 7, 8, 7, 5, 8, 7, 5, 3]
Asavari	Bhairavi	[3, 4, 4, 8, 10, 1, 11, 1, 11, 11, 3, 3, 1, 1, 1, 11, 11, 8, 10, 11, 8, 10, 10, 8, 6, 4, 4, 4, 3, 6, 4, 6, 8, 8, 10, 10, 10, 1, 11, 11, 11, 11, 10, 8, 8, 8, 10, 10, 1, 11, 11, 10, 8, 6, 6, 6, 4, 4, 3, 8, 10, 1, 11, 1, 11, 11, 3, 3, 4, 3, 1, 3, 4, 3, 1, 1, 3, 1, 3, 1, 3, 4, 3, 1, 11, 11, 10, 8, 10, 4, 8, 10, 10, 1, 11, 11, 8, 6, 6, 6, 4, 4, 3, 1, 3]
Bageshri	Kafi	[3, 1, 0, 0, 3, 1, 3, 3, 8, 6, 6, 5, 3, 5, 1, 5, 3, 5, 5, 6, 5, 3, 1, 3, 3, 6, 6, 6, 3, 1, 3, 1, 0, 3, 1, 0, 1, 0, 0, 1, 1, 0, 6, 6, 6, 3, 6, 6, 3, 1, 1, 0, 1, 3, 0, 1, 3, 8, 8, 8, 8, 6, 6, 3, 5, 0, 1, 8, 6, 6, 5, 3, 5, 6, 5, 3, 0, 1, 3, 5, 5, 5, 5, 3, 1, 0, 1, 3, 8, 6, 6, 5, 3, 5, 3, 0, 1, 0, 1, 3, 3, 3, 5, 5, 5, 3, 1, 0, 3, 1, 0, 1, 0, 3, 8, 6, 8, 8, 0, 0, 0, 1, 1, 0, 6, 5, 6, 3, 1, 1, 0, 0, 1, 3, 3, 8, 6, 6, 5, 6, 5, 3, 6, 8, 0, 0, 0, 1, 0, 0, 0, 10, 8, 8, 0, 8, 6, 6, 8, 0, 8, 6, 8, 1, 1, 0, 8, 6, 6, 5, 3, 6, 8, 0, 0, 8, 0, 0, 1, 8, 6, 6, 8, 1, 1, 1, 0, 0, 10, 8, 8, 8, 10, 10, 8, 1, 10, 10, 1, 10, 8, 10, 0, 8, 6, 6, 6, 8, 1, 0, 0, 3, 1, 1, 3, 3, 1, 0, 10, 8, 10, 0, 10, 8, 6, 6, 5, 3, 5, 6, 5, 3, 3]
Bahar	Kafi	[3, 8, 6, 8, 6, 8, 1, 0, 2, 3, 2, 3, 1, 10, 10, 8, 10, 8, 0, 10, 8, 6, 8, 6, 6, 8, 5, 3, 5, 6, 5, 3, 1, 6, 3, 1, 3, 1, 3, 8, 8, 10, 8, 10, 8, 10, 0, 10, 8, 6, 8, 6, 6, 8, 1, 1, 0, 2, 3, 6, 5, 5, 6, 3, 2, 5, 3, 2, 3, 2, 3, 1, 10, 10, 8, 10, 0, 10, 8, 6, 8, 6, 1, 0, 3, 3, 6, 8, 1, 0, 2, 3, 2, 5, 3, 2, 3, 1, 10, 10, 8, 6, 8, 6, 8, 1, 0, 0, 1, 10, 8, 10, 1, 10, 8, 6, 6, 8, 5, 3, 5, 6, 5, 3]
Basant	Purvi	[3, 7, 9, 11, 11, 3, 2, 3, 3, 4, 2, 2, 11, 11, 10, 10, 9, 7, 7, 9, 7, 7, 4, 4, 3, 3, 11, 3, 2, 4, 3, 3, 3, 4, 3, 2, 2, 2, 2, 11, 3, 4, 7, 11, 9, 11, 9, 9, 11, 9, 11, 2, 3, 2, 3, 3, 11, 9, 11, 3, 3, 3, 11, 3, 2, 4, 2, 4, 3, 2, 11, 4, 2, 11, 10, 10, 9, 9, 9, 10, 9, 7, 7, 9, 7, 4, 9, 7, 2, 2, 4, 9, 7, 7, 4, 4, 3, 3, 4, 3, 2, 3, 2, 3, 3, 8, 7, 8, 7, 7, 8, 9, 8, 7, 8, 7, 7, 0, 9, 0, 9, 9, 11, 2, 11, 9, 11, 3, 3, 3, 3, 11, 2, 4, 7, 4, 7, 4, 3, 3, 3, 4, 3, 2, 3, 2, 3, 4, 2, 11, 10, 10, 9, 11, 2, 3, 7, 4, 2, 11, 10, 9, 10, 9, 7, 9, 7, 4, 4, 9, 7, 9, 7, 4, 7, 4, 4, 3]
Bhairav	Bhairav	[3, 3, 4, 3, 4, 3, 7, 8, 7, 8, 7, 8, 7, 10, 11, 11, 2, 2, 3, 3, 2, 11, 11, 10, 8, 7, 4, 4, 3, 3, 4, 7, 4, 7, 8, 10, 7, 8, 11, 11, 11, 10, 8, 8, 10, 8, 8, 10, 8, 10, 11, 10, 10, 7, 8, 7, 7, 10, 8, 8, 7, 4, 4, 11, 3, 2, 4, 3, 3, 7, 8, 7, 8, 7, 8, 10, 11, 11, 3, 2, 4, 3, 3, 2, 11, 10, 10, 8, 10, 11, 11, 11, 3, 2, 3, 11, 3, 2, 4, 3, 3, 3, 2, 4, 3, 2, 3, 3, 4, 4, 3, 4, 7, 3, 8, 7, 4, 7, 8, 8, 7, 7, 4, 4, 3, 3, 3, 11, 11, 8, 8, 10, 8, 10, 11, 10, 11, 10, 8, 7, 8, 7, 3, 8, 7, 7, 3, 7, 8, 10, 7, 8, 4, 4, 11, 3, 2, 4, 3, 3]
Bhairavi	Bhairavi	[3, 4, 6, 8, 10, 11, 1, 3, 3, 1, 11, 10, 8, 6, 4, 3, 5, 6, 5, 3, 3, 6, 5, 8, 5, 8, 6, 5, 6, 5, 6, 5, 3, 6, 4, 1, 1, 11, 3, 1, 11, 5, 6, 5, 5, 6, 5, 1, 1, 10, 1, 10, 1, 3, 6, 1, 6, 3, 1, 11, 10, 10, 10, 11, 3, 3, 5, 6, 5, 8, 5, 8, 6, 5, 6, 3, 3, 6, 4, 3, 2, 3, 6, 4, 3, 1, 3, 6, 8, 10, 11, 10, 8, 6, 6, 10, 10, 11, 10, 1, 10, 1, 11, 10, 11, 10, 8, 8, 10, 8, 6, 5, 6, 5, 3, 6, 6, 6, 10, 11, 3, 3, 3, 5, 3, 1, 3, 5, 3, 1, 11, 10, 8, 6, 5, 6, 6, 5, 3, 10, 10, 11, 10, 8, 6, 3, 6, 3, 1, 3, 6, 8, 10, 10, 8, 6, 6, 3, 6, 3, 6, 8, 10, 8, 6, 8, 4, 3, 10, 11, 3, 3, 4, 3, 6, 5, 8, 6, 5, 6, 4, 3, 5, 2, 6, 4, 4, 3, 3]
Bhatiyar	Marva	[3, 8, 8, 8, 7, 10, 10, 7, 4, 8, 7, 10, 7, 4, 3, 3, 8, 8, 0, 10, 0, 10, 8, 8, 0, 2, 4, 2, 0, 0, 0, 10, 9, 10, 0, 10, 9, 2, 0, 3, 2, 3, 0, 3, 3, 2, 4, 2, 2, 0, 0, 0, 10, 10, 2, 0, 10, 8, 7, 8, 7, 8, 0, 2, 0, 10, 0, 10, 8, 8, 10, 9, 7, 7, 10, 9, 10, 7, 4, 4, 3]
